antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,publicado,tipodevendedor,titulo,lat,long
En construcción,3,3,2,266,280000,,,Estrene Hermosa Villa en Compra - Puerto Azul!,-2.189258854883414,-79.96493716043551
30,3,3,2,703,250000,,,"Ceibos - Santa Cecilia Casa Una Sola Planta 3 Dorm., Jardín Amplio",-2.1618543,-79.94353969999997
9,4,4,2,532,550000,,,Vendo Casa Sector San Isidro - Vía Samborondon - 2 Plantas con Jacuzzi,-2.1190084,-79.86893909999998
12,5,3,2,175,96000,,,Venta Casa Guayacanes: Comercial en Plena Av Narcisa de Jesus,-2.116420056763181,-79.88338229592568
35,4,3,1,447,160000,,,"Casa Esquinera de Venta con Restaurante Equipado, 314 m², 6 de Marzo y Colombia",-2.2105838,-79.89033540000003
10,3,2,2,82,90000,,,"Vendo Hermosa Propiedad en Metrópolis 2 (Usd$90,000) Solo de Contado",-2.065447782912578,-79.91764401632997
9,4,4,2,480,530000,,,"Casa en Venta - Urb Exclusiva - con Vista Al Lago - Us$530,000",-2.092127924857719,-79.87316607929722
20,5,7,4,540,450000,,,Venta de Amplia Casa en Los Olivos Guayaquil,-2.168061419690573,-79.94538398308106
15,3,3,2,1,170000,,,Casa y Terreno Via a La Costa,-2.189836316424229,-79.9669744879032
11,4,4,1,220,270000,,,Casa - en Venta Via Samborondon Km5.5,-2.107305499999999,-79.872252
10,0,4,2,295,275000,,,Terranostra Etapa Tarragona Hermosa Casa 4 Dorm.,-2.189881899113615,-80.00382806644876
1,3,3,1,160,86500,,,"Venta de Casa de 1 Planta con 3 Habitaciones en Urb Villa Club, Etapa Magna",-2.076758,-79.9401216
6,6,6,2,857,750000,,,Casa de Venta en Palmar del Río en Vía Samborondón,-2.1231067,-79.87098370000001
20,4,3,4,680,240000,,,"Venta Casa en Cdla. Naval Norte con 4 Dorm., Parqueos y Piscina",-2.1788764,-79.8891817
2,4,4,2,600,450000,,,Moderna y Amplia Casa en Isla Mocoli de Venta,-2.092127924857719,-79.87316607929722
En construcción,3,2,2,96,63950,,,Villa Bonita El Mejor Lugar Para Vivir Via Km 15.5 Via a Daule,-2.140982,-79.93412869999997
A estrenar,4,4,2,300,400000,,,"Proyecto en Venta con Diseño Personalizado en Isla Mocoli, Pacifica Cerca de Plaza Lagos",-2.1037661,-79.8730712
10,3,2,2,140,100000,,,Casa de Venta en Las Primeras Etapas de Villa Club,-2.051027949496627,-79.89088837553254
13,3,2,1,164,79000,,,"Casa en Valle Alto, Via a La Costa! 3 Dorm. 2 Baños, Patio",-2.196655982737348,-80.06913502491454
A estrenar,3,3,2,300,200000,,,"Venta de Casa de Estreno, Urb. El Condado, Km. 14 Av León Febres Cordero, La Aurora - Puntilla",-2.0741229,-79.84792470000002
A estrenar,4,4,1,234,265000,,,"Venta Casa Urb. Ciudad Celeste, en Construccion, Diseño Exclusivo y Moderno",-2.0715709,-79.84227920000001
20,5,4,3,234,78000,,,"Vendo Propiedad Ideal Para Negocio, Casa Rentera o Locales en Chongon",-2.231626018077922,-80.07900068042602
33,0,6,3,546,220000,,,Colinas de Los Ceibos Vendo Linda Casa con Excelente Ubicacion,-2.1623074,-79.94515200000001
A estrenar,4,3,1,114,77000,,,"Vendo Casa de 2 Plantas en Urb Villa del Rey, Palacio 9b",-2.076758,-79.9401216
1,4,4,2,640,630000,,,"La Mejor Casa del Mercado, Minimalista, Nueva. Espectacular.",-2.101729913649778,-79.8652896185547
A estrenar,3,2,2,72,49000,,,Ciudad Santiago Norte de Guayaquil,-2.024561619524212,-79.94286473596799
4,6,6,4,675,980000,,,Moderna Casa en Venta – Mocoli Urbanizacion “la Ensenada”,-2.1109267,-79.8569827
16,5,5,2,503,365000,,,Amplia Casa Familiar Al Pie del Rio,-2.1454603,-79.85707020000001
27,0,0,0,820,290000,,,Casa en Venta. Urb. Colinas de Los Ceibos. 320 m² Terreno y 500 m² Construcción,-2.164344553594874,-79.94674868072684
5,3,3,1,250,370000,,,"Ciudad Colon Villa con Acabados de Primera, Frente Al Parque",-2.1525385,-79.90658830000001
10,9,7,0,192,96000,,,Vendo Casa 2 Plantas con Local y 2 Departamentos,-2.2664802,-79.8972296
A estrenar,4,4,7,330,400000,,,Casa - Samborondón,-2.1076378,-79.8622333
8,5,4,2,206,200000,,,"Casa de Venta en Urb. Ciudad Celeste, Samborondon, Cerca de Cc El Dorado",-2.0694324,-79.8416923
35,7,6,1,217,75000,,,Vendo Casa Rentera en El Sur (José de Antepara y Sedalana) Uso Comercial.,-2.219440530595973,-79.90031700688837
7,4,4,2,300,240000,,,Se Vende Linda Casa Via a La Costa,-2.182706833882016,-80.00124239027747
15,7,6,3,210,170000,,,Excelente Casa Rentera de Oportunidad $170.000 Negociables Amoblada!,-2.083697893924101,-79.91695232574762
9,0,4,2,960,650000,,,Villa Urbanización Via Samborondon Km 2.5 Piscina Patio 4 Dorm.,-2.100389497529228,-79.87273156184386
22,4,3,1,366,169000,,,Casa Rentera Alborada XIII Etapa C Local Comercial,-2.123927489452012,-79.90272162446746
A estrenar,4,4,2,320,280000,,,Samborondon Km 3.5 Casa de Estreno,-2.031227586496248,-79.86827373005406
30,4,6,4,1000,550000,,,Vendo Casa en Urdesa Remodelada y Modernizada (Uso de Suelo Residencial),-2.164543765255723,-79.9095115354736
,1,1,5,162,75000,,,Se Vende Casa Rentera en El Guasmo Sur a Pocas Calles del Hospital Publico,-2.264770690096392,-79.87886441318358
30,5,6,3,900,480000,,,Vendo o Alquilo Amplia Casa de 5 Dorm. en Santa Cecilia,-2.160032011635085,-79.93553028952294
8,5,6,3,600,900000,,,"Portofino, Hermosa Casa de Lujo a La Venta 4d, Estudio, Piscina. $",-2.184776968954733,-79.98472174040523
