antigüedad,cuartos,cuartosdebaño,estacionamiento,latlong,metroscuadradostotales,precio,publicado,tipodevendedor,titulo
Hasta 5 años,3,4,,"https://www.google.com/maps/place/-2.161486,-79.917257",118,$115.000,Publicado hace 6 hs,,Casa de venta en Urb. Gran Vittoria – código:15843
Entre 10 y 20 años,2,1,No,"https://www.google.com/maps/place/-2.134999990463257,-79.91300201416016",65,$27.000,Publicado hace 6 hs,Inmobiliaria,"Departamento en venta en el Centro de Guayaquil, la Av. Quito"
A estrenar,3,4,Si,"https://www.google.com/maps/place/-2.0480000972747803,-79.90499877929688",600, $298.000,Publicado hace 6 hs,Inmobiliaria,"Casa en Venta en Condado Vicolinci, Samborondon"
Entre 20 y 50 años,3,2,Si,"https://www.google.com/maps/place/-2.168025493621826,-79.8955078125",300,$80.000,Publicado hace 6 hs,Inmobiliaria,Casa en La Cdla Iess Sur Huancavilca
Entre 5 y 10 años,4,6,Si,"https://www.google.com/maps/place/-2.187999963760376,-80",364, $285.000,Publicado hace 6 hs,Inmobiliaria,Casa de venta esquinera en la Urbanización Terranostra con 4 dormitorios.
Entre 10 y 20 años,4,4,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",250, $260.000,Publicado hace 6 hs,Inmobiliaria,"Villa de Venta, via la Costa, Urb. Puerto Azul,  frente a Urb Bosques de la costa"
Entre 5 y 10 años,3,3,No,"https://www.google.com/maps/place/-2.196000099182129,-79.88500213623047",90,$78.000,Publicado hace 6 hs,Dueño Directo,"Se Vende, Mucho Lote 1 con Local Comerci"
Entre 5 y 10 años,4,4,Si,"https://www.google.com/maps/place/-2.180000066757202,-79.9749984741211",150, $200.000,Publicado hace 6 hs,Inmobiliaria,"Vendo, departamento en edificio San Francisco en el centro de Guayaquil"
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.1670000553131104,-79.94400024414062",150, $165.000,Publicado hace 6 hs,Inmobiliaria,VENTA LOS OLIVOS DEPARTAMENTO 3 DORMITORIOS
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.1670000553131104,-79.93800354003906",120, $105.000,Publicado hace 6 hs,Dueño Directo,VENDO  CASA DE OPORTUIDAD
A estrenar,2,2,Si,"https://www.google.com/maps/place/-2.177000045776367,-79.89600372314453",80, $115.000,Publicado hace 6 hs,Dueño Directo,Departamento en venta de estreno en kennedy norte
A estrenar,3,3,Si,"https://www.google.com/maps/place/-2.1700000762939453,-79.89800262451172",160,$145.000,Publicado hace 6 hs,Inmobiliaria,Vendo Casa Matices
A estrenar,2,2,Si,"https://www.google.com/maps/place/-2.144824266433716,-79.89974975585938",83,$127.000,Publicado hace 15 hs,Inmobiliaria,"Kennedy Norte, Condominio, Venta Departm"
Entre 20 y 50 años,4,3,Si,"https://www.google.com/maps/place/-2.2219998836517334,-79.88999938964844",420, $145.000,Publicado hace 4 días,Inmobiliaria,Venta Villa una Planta en Centenario Sur
Entre 10 y 20 años,3,3,Si,"https://www.google.com/maps/place/-2.135927200317383,-79.92464447021484",158, $98.500,Publicado hace 2 hs,Dueño Directo,Vendo Casa  de Oportunidad en San Felipe
Entre 5 y 10 años,4,4,,"https://www.google.com/maps/place/-2.131999969482422,-79.90699768066406",294, $143.000,Publicado hace 9 hs,Inmobiliaria,"Casa en venta en cdla el condor, vendo casa grande con garaje, zona norte"
Entre 10 y 20 años,3,2,Si,"https://www.google.com/maps/place/-2.0820000171661377,-79.9209976196289",80, $54.900,Publicado hace 15 hs,Inmobiliaria,"Mucho Lote 1 Etapa 5, Casa en Venta, Norte de Guayaquil"
Hasta 5 años,3,3,,"https://www.google.com/maps/place/-2.161486,-79.917257",125,$120.000,Publicado hace 6 hs,,Casa de venta en Urb. San Felipe – código:15857
Entre 20 y 50 años,10,6,,"https://www.google.com/maps/place/-2.161486,-79.917257",555,$450.000,Publicado hace 6 hs,,Casa de venta en Garzota - Cerca al Mall del Sol – código:13798
Entre 20 y 50 años,11,15,,"https://www.google.com/maps/place/-2.161486,-79.917257",1000,$2.500.000,Publicado hace 6 hs,,Casa de venta en Cerro Santa Ana - Las Peñas – código:15741
Hasta 5 años,4,4,Si,"https://www.google.com/maps/place/-2.191999912261963,-79.96700286865234",525,$305.000,Publicado hace 3 días,Inmobiliaria,Venta de Villa Esquinera en Puerto Azul
Hasta 5 años,3,3,Si,"https://www.google.com/maps/place/-2.0878474712371826,-79.9258804321289",78,$69.000,Publicado hace 7 hs,Inmobiliaria,Venta Casa Paraiso Del Rio
Entre 10 y 20 años,7,5,No,"https://www.google.com/maps/place/-2.1550776958465576,-79.89030456542969",92,$95.000,Publicado hace 7 hs,Inmobiliaria,Vende Casa Sauces 2
Entre 10 y 20 años,3,5,Si,"https://www.google.com/maps/place/-2.1640000343322754,-79.90699768066406",154, $125.000,Publicado hace 7 hs,Inmobiliaria,LOMAS DE URDESA DEPARTAMENTO EN VENTA. ASCENSOR.
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.187000036239624,-79.98100280761719",473, $198.000,Publicado hace 7 hs,Inmobiliaria,"Venta de Casa en la Urb. Belo Horizonte, cerca de C.C Costalmar, Vía a la Costa."
Entre 10 y 20 años,3,3,Si,"https://www.google.com/maps/place/-2.134411096572876,-79.87029266357422",210,$245.000,Publicado hace 4 días,Inmobiliaria,Vendo Casa Urbanización Villa Real
A estrenar,3,3,Si,"https://www.google.com/maps/place/-2.1630001068115234,-79.94200134277344",120, $125.000,Publicado hace 4 días,Inmobiliaria,Oportunidad Venta Hermoso Dpto. 3 Dormitorio Campori D32
